damage taken,direction,encounter,month of departure
78%,southbound,water elemental,5/1397
85%,northbound,nessie,5/1397
12%,southbound,pirates,5/1397
28%,southbound,sharks,5/1397
30%,northbound,pirates,5/1397
84%,southbound,water elemental,5/1397
58%,northbound,kraken,5/1397
36%,southbound,pirates,5/1397
22%,northbound,harpy,5/1397
31%,northbound,sharks,5/1397
100%+,southbound,unknown,5/1397
65%,northbound,kraken,5/1397
85%,southbound,nessie,5/1397
92%,northbound,demon whale,5/1397
90%,southbound,nessie,5/1397
98%,southbound,crabmonsters,5/1397
40%,northbound,pirates,5/1397
88%,southbound,nessie,5/1397
47%,northbound,merpeople,5/1397
20%,northbound,harpy,5/1397
13%,northbound,harpy,5/1397
21%,southbound,harpy,5/1397
84%,southbound,water elemental,5/1397
48%,southbound,kraken,5/1397
81%,southbound,water elemental,5/1397
100%+,southbound,unknown,5/1397
23%,southbound,sharks,5/1397
23%,northbound,sharks,5/1397
16%,northbound,pirates,5/1397
37%,southbound,pirates,5/1397
83%,southbound,nessie,5/1397
100%+,northbound,unknown,5/1397
19%,southbound,pirates,5/1397
63%,southbound,crabmonsters,5/1397
48%,southbound,pirates,5/1397
21%,northbound,harpy,5/1397
32%,northbound,pirates,5/1397
24%,southbound,pirates,5/1397
80%,southbound,nessie,5/1397
100%+,northbound,unknown,5/1397
23%,southbound,sharks,5/1397
19%,southbound,pirates,5/1397
17%,northbound,pirates,5/1397
21%,northbound,sharks,5/1397
82%,northbound,water elemental,5/1397
85%,northbound,water elemental,5/1397
6%,southbound,harpy,5/1397
19%,northbound,pirates,5/1397
50%,northbound,kraken,5/1397
84%,southbound,nessie,5/1397
26%,northbound,crabmonsters,5/1397
22%,northbound,pirates,5/1397
50%,southbound,pirates,5/1397
100%+,northbound,unknown,5/1397
0%,southbound,crabmonsters,5/1397
14%,northbound,crabmonsters,5/1397
29%,southbound,merpeople,5/1397
25%,northbound,pirates,5/1397
24%,southbound,sharks,5/1397
16%,southbound,pirates,6/1397
23%,northbound,sharks,6/1397
100%+,southbound,unknown,6/1397
22%,southbound,pirates,6/1397
30%,northbound,pirates,6/1397
6%,northbound,harpy,6/1397
81%,southbound,water elemental,6/1397
92%,northbound,crabmonsters,6/1397
30%,northbound,pirates,6/1397
82%,southbound,nessie,6/1397
50%,southbound,kraken,6/1397
11%,northbound,pirates,6/1397
47%,northbound,pirates,6/1397
23%,northbound,sharks,6/1397
14%,southbound,harpy,6/1397
100%+,southbound,unknown,6/1397
53%,northbound,kraken,6/1397
25%,northbound,pirates,6/1397
36%,southbound,merpeople,6/1397
44%,southbound,pirates,6/1397
37%,southbound,pirates,6/1397
93%,northbound,nessie,6/1397
68%,southbound,kraken,6/1397
64%,southbound,crabmonsters,6/1397
82%,southbound,water elemental,6/1397
85%,northbound,water elemental,6/1397
61%,northbound,kraken,6/1397
39%,northbound,pirates,6/1397
100%+,southbound,unknown,6/1397
25%,southbound,sharks,6/1397
77%,northbound,nessie,6/1397
100%+,southbound,unknown,6/1397
29%,southbound,pirates,6/1397
21%,northbound,crabmonsters,6/1397
45%,southbound,crabmonsters,6/1397
28%,northbound,pirates,6/1397
8%,southbound,harpy,6/1397
28%,northbound,sharks,6/1397
80%,northbound,water elemental,6/1397
8%,northbound,harpy,6/1397
30%,northbound,pirates,6/1397
54%,northbound,kraken,6/1397
14%,southbound,harpy,6/1397
19%,southbound,pirates,6/1397
81%,southbound,water elemental,6/1397
100%+,southbound,unknown,6/1397
36%,northbound,pirates,6/1397
17%,southbound,pirates,6/1397
100%+,southbound,unknown,6/1397
57%,southbound,merpeople,6/1397
78%,northbound,merpeople,6/1397
43%,northbound,pirates,6/1397
23%,northbound,pirates,6/1397
48%,southbound,pirates,6/1397
100%+,southbound,unknown,6/1397
39%,southbound,pirates,6/1397
44%,southbound,merpeople,6/1397
32%,southbound,merpeople,6/1397
23%,southbound,pirates,6/1397
36%,northbound,merpeople,6/1397
17%,northbound,pirates,6/1397
19%,northbound,harpy,6/1397
10%,southbound,harpy,6/1397
32%,northbound,merpeople,6/1397
97%,southbound,demon whale,6/1397
10%,southbound,harpy,6/1397
50%,southbound,kraken,6/1397
44%,northbound,merpeople,6/1397
21%,southbound,sharks,6/1397
78%,northbound,nessie,6/1397
17%,northbound,harpy,6/1397
22%,southbound,pirates,6/1397
48%,northbound,kraken,6/1397
46%,southbound,pirates,6/1397
53%,southbound,kraken,6/1397
84%,southbound,water elemental,6/1397
100%+,southbound,unknown,6/1397
33%,northbound,sharks,6/1397
6%,southbound,crabmonsters,6/1397
38%,southbound,sharks,6/1397
39%,southbound,pirates,6/1397
21%,northbound,pirates,6/1397
18%,southbound,pirates,6/1397
80%,southbound,water elemental,6/1397
26%,northbound,pirates,6/1397
23%,northbound,pirates,6/1397
96%,southbound,merpeople,6/1397
18%,southbound,merpeople,6/1397
25%,southbound,pirates,6/1397
100%+,northbound,unknown,6/1397
16%,northbound,harpy,6/1397
54%,northbound,pirates,6/1397
80%,southbound,water elemental,6/1397
40%,southbound,pirates,6/1397
47%,southbound,pirates,6/1397
22%,northbound,sharks,6/1397
27%,southbound,pirates,6/1397
22%,northbound,sharks,6/1397
82%,northbound,water elemental,6/1397
84%,northbound,water elemental,6/1397
71%,northbound,merpeople,6/1397
26%,northbound,pirates,6/1397
60%,northbound,merpeople,6/1397
100%+,southbound,unknown,6/1397
12%,northbound,pirates,6/1397
29%,northbound,sharks,6/1397
33%,northbound,merpeople,6/1397
34%,northbound,sharks,6/1397
100%+,southbound,unknown,6/1397
47%,southbound,merpeople,6/1397
94%,northbound,merpeople,6/1397
40%,southbound,sharks,6/1397
19%,northbound,sharks,6/1397
22%,northbound,pirates,6/1397
74%,northbound,water elemental,6/1397
36%,southbound,sharks,6/1397
92%,southbound,demon whale,6/1397
82%,northbound,water elemental,6/1397
7%,southbound,pirates,6/1397
19%,northbound,pirates,6/1397
18%,northbound,pirates,6/1397
30%,northbound,sharks,6/1397
44%,northbound,pirates,6/1397
100%+,northbound,unknown,6/1397
19%,northbound,pirates,6/1397
25%,southbound,sharks,6/1397
77%,southbound,water elemental,6/1397
28%,southbound,pirates,6/1397
26%,northbound,sharks,6/1397
24%,southbound,merpeople,6/1397
46%,southbound,merpeople,6/1397
100%+,northbound,unknown,6/1397
19%,southbound,sharks,6/1397
10%,southbound,pirates,6/1397
61%,southbound,merpeople,6/1397
43%,southbound,pirates,6/1397
19%,northbound,harpy,6/1397
49%,northbound,kraken,6/1397
59%,northbound,merpeople,6/1397
100%+,northbound,unknown,6/1397
11%,northbound,harpy,6/1397
14%,northbound,pirates,6/1397
16%,northbound,harpy,6/1397
17%,northbound,pirates,6/1397
12%,southbound,crabmonsters,6/1397
41%,southbound,pirates,6/1397
100%+,southbound,unknown,6/1397
44%,northbound,pirates,6/1397
74%,southbound,nessie,6/1397
22%,southbound,sharks,6/1397
49%,northbound,merpeople,6/1397
28%,northbound,merpeople,6/1397
58%,northbound,merpeople,6/1397
16%,southbound,pirates,6/1397
37%,northbound,pirates,6/1397
12%,southbound,pirates,6/1397
16%,northbound,pirates,6/1397
85%,southbound,water elemental,6/1397
77%,northbound,nessie,6/1397
65%,northbound,merpeople,6/1397
38%,southbound,kraken,6/1397
19%,southbound,harpy,6/1397
17%,northbound,crabmonsters,6/1397
13%,southbound,pirates,6/1397
29%,southbound,sharks,6/1397
32%,southbound,sharks,6/1397
78%,southbound,nessie,6/1397
76%,northbound,water elemental,6/1397
78%,southbound,water elemental,6/1397
99%,southbound,demon whale,6/1397
35%,northbound,pirates,6/1397
30%,northbound,pirates,6/1397
79%,northbound,water elemental,6/1397
47%,southbound,kraken,6/1397
42%,northbound,pirates,6/1397
100%+,southbound,unknown,6/1397
23%,northbound,sharks,6/1397
14%,northbound,harpy,6/1397
17%,southbound,sharks,6/1397
17%,southbound,pirates,6/1397
38%,southbound,sharks,6/1397
14%,southbound,harpy,6/1397
48%,southbound,kraken,6/1397
36%,southbound,pirates,6/1397
23%,southbound,pirates,6/1397
33%,northbound,sharks,6/1397
100%+,northbound,unknown,7/1397
61%,southbound,kraken,7/1397
100%+,southbound,unknown,7/1397
94%,northbound,demon whale,7/1397
19%,northbound,sharks,7/1397
31%,southbound,pirates,7/1397
52%,southbound,merpeople,7/1397
35%,northbound,pirates,7/1397
17%,southbound,harpy,7/1397
63%,southbound,merpeople,7/1397
68%,northbound,kraken,7/1397
81%,southbound,water elemental,7/1397
40%,northbound,pirates,7/1397
16%,northbound,harpy,7/1397
8%,southbound,harpy,7/1397
16%,northbound,pirates,7/1397
22%,northbound,pirates,7/1397
94%,northbound,demon whale,7/1397
18%,southbound,harpy,7/1397
52%,southbound,kraken,7/1397
43%,northbound,merpeople,7/1397
52%,southbound,pirates,7/1397
49%,northbound,pirates,7/1397
7%,northbound,harpy,7/1397
47%,northbound,kraken,7/1397
24%,southbound,pirates,7/1397
84%,southbound,water elemental,7/1397
100%+,northbound,unknown,7/1397
56%,northbound,merpeople,7/1397
74%,southbound,water elemental,7/1397
100%+,northbound,unknown,7/1397
71%,northbound,merpeople,7/1397
78%,northbound,demon whale,7/1397
35%,southbound,pirates,7/1397
3%,northbound,crabmonsters,7/1397
41%,southbound,merpeople,7/1397
13%,southbound,pirates,7/1397
34%,northbound,pirates,7/1397
76%,northbound,water elemental,7/1397
26%,southbound,pirates,7/1397
76%,southbound,water elemental,7/1397
50%,northbound,kraken,7/1397
100%+,southbound,unknown,7/1397
46%,southbound,kraken,7/1397
78%,northbound,water elemental,7/1397
3%,northbound,crabmonsters,7/1397
42%,southbound,pirates,7/1397
23%,southbound,harpy,7/1397
45%,southbound,merpeople,7/1397
100%+,northbound,unknown,7/1397
21%,northbound,pirates,7/1397
6%,southbound,crabmonsters,7/1397
100%+,northbound,unknown,7/1397
100%+,southbound,unknown,7/1397
21%,southbound,sharks,7/1397
90%,northbound,crabmonsters,7/1397
38%,northbound,pirates,7/1397
84%,northbound,demon whale,7/1397
32%,southbound,crabmonsters,7/1397
15%,southbound,pirates,7/1397
77%,southbound,water elemental,7/1397
53%,southbound,kraken,7/1397
26%,northbound,sharks,7/1397
60%,southbound,kraken,7/1397
60%,southbound,kraken,7/1397
19%,southbound,sharks,7/1397
56%,northbound,kraken,7/1397
12%,northbound,harpy,7/1397
41%,southbound,sharks,7/1397
31%,northbound,sharks,7/1397
75%,southbound,water elemental,7/1397
47%,northbound,crabmonsters,7/1397
29%,southbound,pirates,7/1397
28%,northbound,sharks,7/1397
33%,southbound,sharks,7/1397
46%,southbound,pirates,7/1397
63%,northbound,merpeople,7/1397
19%,southbound,pirates,7/1397
8%,northbound,sharks,7/1397
77%,southbound,water elemental,7/1397
100%+,northbound,unknown,7/1397
43%,southbound,crabmonsters,7/1397
34%,southbound,pirates,7/1397
100%+,southbound,unknown,7/1397
63%,southbound,kraken,7/1397
2%,northbound,crabmonsters,7/1397
54%,southbound,crabmonsters,7/1397
11%,northbound,harpy,7/1397
19%,southbound,merpeople,7/1397
77%,southbound,water elemental,7/1397
12%,southbound,sharks,7/1397
20%,southbound,pirates,7/1397
25%,northbound,sharks,7/1397
74%,southbound,water elemental,7/1397
100%+,southbound,unknown,7/1397
55%,northbound,merpeople,7/1397
77%,southbound,water elemental,7/1397
19%,northbound,pirates,7/1397
12%,southbound,pirates,7/1397
29%,northbound,pirates,7/1397
27%,northbound,pirates,7/1397
48%,southbound,merpeople,7/1397
85%,northbound,water elemental,7/1397
83%,northbound,water elemental,7/1397
66%,northbound,merpeople,7/1397
55%,northbound,pirates,7/1397
98%,northbound,merpeople,7/1397
20%,northbound,crabmonsters,7/1397
22%,southbound,sharks,7/1397
88%,southbound,nessie,7/1397
84%,southbound,water elemental,7/1397
47%,northbound,kraken,7/1397
84%,southbound,water elemental,7/1397
18%,southbound,harpy,7/1397
46%,southbound,pirates,7/1397
49%,southbound,merpeople,7/1397
10%,southbound,harpy,7/1397
78%,southbound,water elemental,7/1397
100%+,southbound,unknown,7/1397
100%+,southbound,unknown,7/1397
10%,southbound,harpy,7/1397
17%,southbound,pirates,7/1397
49%,southbound,merpeople,7/1397
14%,northbound,pirates,7/1397
41%,northbound,pirates,7/1397
20%,northbound,pirates,7/1397
32%,northbound,merpeople,7/1397
34%,northbound,pirates,7/1397
35%,northbound,pirates,7/1397
48%,northbound,pirates,7/1397
79%,southbound,nessie,7/1397
12%,southbound,merpeople,7/1397
100%+,southbound,unknown,7/1397
100%+,southbound,unknown,7/1397
20%,northbound,pirates,7/1397
35%,northbound,pirates,7/1397
53%,northbound,pirates,7/1397
59%,southbound,kraken,7/1397
39%,southbound,sharks,7/1397
47%,northbound,merpeople,7/1397
15%,southbound,pirates,7/1397
38%,southbound,pirates,7/1397
42%,northbound,merpeople,7/1397
49%,northbound,pirates,7/1397
16%,northbound,pirates,7/1397
28%,southbound,sharks,7/1397
32%,northbound,pirates,7/1397
100%+,southbound,unknown,7/1397
81%,northbound,water elemental,7/1397
15%,northbound,pirates,7/1397
52%,southbound,pirates,7/1397
20%,northbound,pirates,7/1397
42%,northbound,pirates,7/1397
55%,northbound,merpeople,7/1397
12%,northbound,pirates,7/1397
21%,northbound,pirates,7/1397
41%,northbound,pirates,7/1397
19%,northbound,sharks,7/1397
85%,southbound,water elemental,7/1397
28%,northbound,sharks,7/1397
21%,northbound,pirates,7/1397
41%,northbound,pirates,7/1397
30%,northbound,sharks,7/1397
14%,northbound,harpy,7/1397
38%,northbound,sharks,7/1397
45%,southbound,merpeople,7/1397
40%,northbound,pirates,7/1397
23%,southbound,crabmonsters,7/1397
49%,southbound,pirates,7/1397
100%+,northbound,unknown,7/1397
100%+,southbound,unknown,7/1397
100%+,northbound,unknown,7/1397
20%,southbound,pirates,7/1397
91%,southbound,demon whale,7/1397
49%,northbound,crabmonsters,7/1397
70%,northbound,kraken,7/1397
17%,northbound,pirates,7/1397
17%,northbound,sharks,7/1397
12%,northbound,sharks,7/1397
19%,southbound,sharks,7/1397
23%,southbound,crabmonsters,7/1397
22%,northbound,sharks,7/1397
44%,northbound,pirates,7/1397
40%,southbound,pirates,7/1397
5%,northbound,crabmonsters,8/1397
19%,southbound,sharks,8/1397
9%,southbound,crabmonsters,8/1397
11%,southbound,pirates,8/1397
84%,northbound,water elemental,8/1397
100%+,northbound,unknown,8/1397
5%,southbound,crabmonsters,8/1397
20%,southbound,pirates,8/1397
85%,southbound,water elemental,8/1397
44%,southbound,sharks,8/1397
18%,southbound,harpy,8/1397
38%,northbound,merpeople,8/1397
23%,southbound,sharks,8/1397
82%,northbound,nessie,8/1397
5%,southbound,harpy,8/1397
100%+,northbound,unknown,8/1397
9%,southbound,sharks,8/1397
21%,southbound,sharks,8/1397
51%,southbound,merpeople,8/1397
34%,northbound,sharks,8/1397
40%,southbound,merpeople,8/1397
19%,northbound,harpy,8/1397
15%,northbound,sharks,8/1397
26%,northbound,pirates,8/1397
13%,southbound,pirates,8/1397
63%,southbound,merpeople,8/1397
81%,southbound,nessie,8/1397
18%,southbound,pirates,8/1397
26%,northbound,pirates,8/1397
16%,southbound,pirates,8/1397
43%,southbound,pirates,8/1397
23%,southbound,sharks,8/1397
97%,southbound,merpeople,8/1397
10%,southbound,pirates,8/1397
21%,southbound,pirates,8/1397
14%,southbound,harpy,8/1397
18%,southbound,pirates,8/1397
32%,southbound,crabmonsters,8/1397
83%,northbound,water elemental,8/1397
22%,southbound,pirates,8/1397
23%,southbound,merpeople,8/1397
17%,northbound,pirates,8/1397
79%,southbound,crabmonsters,8/1397
32%,northbound,sharks,8/1397
12%,southbound,sharks,8/1397
32%,southbound,sharks,8/1397
36%,southbound,pirates,8/1397
77%,southbound,water elemental,8/1397
100%+,northbound,unknown,8/1397
84%,southbound,nessie,8/1397
99%,northbound,demon whale,8/1397
30%,southbound,pirates,8/1397
15%,southbound,harpy,8/1397
29%,southbound,pirates,8/1397
81%,northbound,water elemental,8/1397
84%,southbound,water elemental,8/1397
27%,southbound,pirates,8/1397
32%,southbound,sharks,8/1397
38%,southbound,sharks,8/1397
77%,northbound,nessie,8/1397
17%,northbound,pirates,8/1397
20%,northbound,pirates,8/1397
28%,northbound,pirates,8/1397
37%,southbound,crabmonsters,8/1397
36%,southbound,kraken,8/1397
24%,southbound,sharks,8/1397
85%,southbound,water elemental,8/1397
52%,southbound,pirates,8/1397
91%,northbound,demon whale,8/1397
48%,southbound,kraken,8/1397
66%,northbound,merpeople,8/1397
81%,northbound,water elemental,8/1397
100%+,northbound,unknown,8/1397
49%,northbound,merpeople,8/1397
19%,northbound,merpeople,8/1397
100%+,southbound,unknown,8/1397
27%,northbound,pirates,8/1397
18%,northbound,sharks,8/1397
15%,northbound,harpy,8/1397
34%,southbound,merpeople,8/1397
24%,southbound,sharks,8/1397
7%,northbound,sharks,8/1397
100%+,southbound,unknown,8/1397
13%,northbound,sharks,8/1397
84%,southbound,nessie,8/1397
26%,southbound,merpeople,8/1397
15%,southbound,pirates,8/1397
12%,southbound,sharks,8/1397
18%,northbound,sharks,8/1397
42%,northbound,sharks,8/1397
24%,southbound,sharks,8/1397
58%,southbound,merpeople,8/1397
18%,southbound,sharks,8/1397
56%,southbound,kraken,8/1397
20%,southbound,sharks,8/1397
68%,northbound,merpeople,8/1397
16%,northbound,pirates,8/1397
42%,southbound,sharks,8/1397
16%,southbound,crabmonsters,8/1397
79%,southbound,water elemental,8/1397
45%,southbound,kraken,8/1397
100%+,northbound,unknown,8/1397
26%,southbound,sharks,8/1397
100%+,southbound,unknown,8/1397
100%+,northbound,unknown,8/1397
100%+,northbound,unknown,8/1397
89%,southbound,nessie,8/1397
42%,southbound,pirates,8/1397
19%,northbound,pirates,8/1397
84%,southbound,nessie,8/1397
82%,northbound,water elemental,8/1397
43%,northbound,pirates,8/1397
69%,northbound,merpeople,8/1397
22%,southbound,sharks,8/1397
100%+,southbound,unknown,8/1397
12%,southbound,harpy,8/1397
48%,southbound,pirates,8/1397
50%,northbound,pirates,8/1397
28%,southbound,pirates,8/1397
42%,southbound,merpeople,8/1397
47%,southbound,pirates,8/1397
12%,northbound,harpy,8/1397
100%+,northbound,unknown,8/1397
100%+,southbound,unknown,8/1397
100%+,southbound,unknown,8/1397
32%,northbound,merpeople,8/1397
13%,northbound,harpy,8/1397
41%,northbound,kraken,8/1397
100%+,southbound,unknown,8/1397
47%,northbound,merpeople,8/1397
34%,northbound,sharks,8/1397
25%,northbound,pirates,8/1397
100%+,northbound,unknown,8/1397
40%,northbound,sharks,8/1397
84%,northbound,water elemental,8/1397
77%,northbound,water elemental,8/1397
74%,northbound,water elemental,8/1397
84%,northbound,water elemental,8/1397
94%,northbound,nessie,8/1397
45%,southbound,pirates,8/1397
45%,southbound,pirates,8/1397
100%+,southbound,unknown,8/1397
24%,northbound,pirates,8/1397
34%,northbound,merpeople,8/1397
39%,northbound,kraken,8/1397
19%,southbound,pirates,8/1397
8%,northbound,harpy,8/1397
4%,northbound,crabmonsters,8/1397
77%,northbound,water elemental,8/1397
83%,southbound,nessie,8/1397
48%,northbound,pirates,8/1397
39%,southbound,pirates,8/1397
18%,northbound,sharks,8/1397
100%+,northbound,unknown,8/1397
16%,southbound,pirates,8/1397
15%,northbound,pirates,8/1397
77%,northbound,water elemental,8/1397
100%+,southbound,unknown,8/1397
18%,southbound,harpy,8/1397
79%,southbound,water elemental,8/1397
61%,southbound,kraken,8/1397
43%,southbound,kraken,8/1397
18%,southbound,harpy,8/1397
100%+,northbound,unknown,8/1397
39%,southbound,pirates,8/1397
32%,northbound,sharks,8/1397
48%,southbound,merpeople,8/1397
78%,southbound,water elemental,8/1397
42%,northbound,merpeople,8/1397
